2026-01-29 19:03:29,674 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:03:30,041 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:03:30] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:03:30,069 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:03:30] "GET /api/cards?status=active&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:03:30,092 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:03:30,429 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:03:30] "GET /api/cards?status=active&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:03:31,411 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/version ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:03:31,411 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:03:31] "GET /api/version HTTP/1.1" 200 -
2026-01-29 19:04:09,719 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,720 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "[36mGET / HTTP/1.1[0m" 304 -
2026-01-29 19:04:09,773 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,774 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "[36mGET /styles.css HTTP/1.1[0m" 304 -
2026-01-29 19:04:09,781 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /app.js ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,782 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "[36mGET /app.js HTTP/1.1[0m" 304 -
2026-01-29 19:04:09,849 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,851 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai/status ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,852 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "GET /api/me HTTP/1.1" 200 -
2026-01-29 19:04:09,855 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "GET /api/ai/status HTTP/1.1" 200 -
2026-01-29 19:04:09,864 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,865 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "GET /api/me HTTP/1.1" 200 -
2026-01-29 19:04:09,880 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,880 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,880 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:09,882 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "GET /api/me HTTP/1.1" 200 -
2026-01-29 19:04:09,883 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "GET /api/me HTTP/1.1" 200 -
2026-01-29 19:04:09,883 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:09] "GET /api/me HTTP/1.1" 200 -
2026-01-29 19:04:10,065 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,070 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 19:04:10,083 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,088 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 19:04:10,102 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,102 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,103 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,110 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 19:04:10,111 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 19:04:10,113 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 19:04:10,114 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /favicon.ico ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,116 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "[36mGET /favicon.ico HTTP/1.1[0m" 304 -
2026-01-29 19:04:10,145 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,189 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 19:04:10,201 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,242 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 19:04:10,253 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,291 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 19:04:10,302 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,347 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 19:04:10,360 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,398 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 19:04:10,457 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,457 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /res/decklogos/kenpo_vocabulary.png ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,459 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 19:04:10,459 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "[36mGET /res/decklogos/kenpo_vocabulary.png HTTP/1.1[0m" 304 -
2026-01-29 19:04:10,472 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,473 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 19:04:10,488 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,488 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,489 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,489 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 19:04:10,490 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 19:04:10,491 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 19:04:10,497 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,814 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:10] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:10,825 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:10,856 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:11,191 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:11] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:11,206 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:11,564 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:11] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:11,575 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:11,587 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:11] "GET /api/health HTTP/1.1" 200 -
2026-01-29 19:04:11,602 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:11,618 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:11,620 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:11] "GET /api/ai HTTP/1.1" 200 -
2026-01-29 19:04:11,648 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,009 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:12,021 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/groups ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,133 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:12,161 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,277 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/version ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,278 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/version HTTP/1.1" 200 -
2026-01-29 19:04:12,469 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/groups?deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:12,498 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/health HTTP/1.1" 200 -
2026-01-29 19:04:12,509 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,535 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,538 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/ai HTTP/1.1" 200 -
2026-01-29 19:04:12,643 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:12,654 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,676 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:12,680 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:12] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 19:04:12,708 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:13,130 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:13] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:13,161 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:13,190 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:13] "GET /api/cards?status=active&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:13,208 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdown ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:13,209 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:13] "GET /api/breakdown?id=db4fca1ad62f88e1 HTTP/1.1" 200 -
2026-01-29 19:04:13,334 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:13] "GET /api/health HTTP/1.1" 200 -
2026-01-29 19:04:13,345 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:13,361 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:13,364 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:13] "GET /api/ai HTTP/1.1" 200 -
2026-01-29 19:04:13,585 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:13] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:13,596 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:13,639 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:14,071 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:14] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:14,109 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:14,118 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:14] "GET /api/cards?status=active&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:14,183 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:14] "GET /api/health HTTP/1.1" 200 -
2026-01-29 19:04:14,193 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/health ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:14,219 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:14,221 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:14] "GET /api/ai HTTP/1.1" 200 -
2026-01-29 19:04:14,517 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:14] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:14,528 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:14,543 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:14,993 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:14] "GET /api/health HTTP/1.1" 200 -
2026-01-29 19:04:15,011 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:15] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:15,027 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:15] "GET /api/cards?status=active&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:15,030 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/ai ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:15,033 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:15] "GET /api/ai HTTP/1.1" 200 -
2026-01-29 19:04:15,046 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:15,386 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:15] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:15,402 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:15,421 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:15,806 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:15] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:15,825 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:15] "GET /api/cards?status=active&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:15,843 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/counts ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:16,188 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:16] "GET /api/counts?&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:16,215 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/cards ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:16,548 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:16] "GET /api/cards?status=active&deck_id=kenpo HTTP/1.1" 200 -
2026-01-29 19:04:20,306 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /admin ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 19:04:20,307 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 19:04:20] "GET /admin HTTP/1.1" 200 -
