2026-01-29 17:14:12,614 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 17:14:12] "GET /app.js HTTP/1.1" 200 -
2026-01-29 17:14:13,582 | INFO | webapp | [REQ] ip=47.188.42.192 user=Sidscri GET /favicon.ico ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 17:14:13,584 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 17:14:13] "GET /favicon.ico HTTP/1.1" 200 -
2026-01-29 18:23:13,943 | INFO | webapp | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:23:13,945 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:23:13] "[36mGET / HTTP/1.1[0m" 304 -
2026-01-29 18:23:14,007 | INFO | webapp | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:23:14,008 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:23:14] "[36mGET /styles.css HTTP/1.1[0m" 304 -
2026-01-29 18:23:14,013 | INFO | webapp | [REQ] ip=47.188.42.192 user=Sidscri GET /app.js ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:23:14,015 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:23:14] "[36mGET /app.js HTTP/1.1[0m" 304 -
2026-01-29 18:23:15,225 | INFO | webapp | [REQ] ip=47.188.42.192 user=Sidscri GET /favicon.ico ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:23:15,226 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:23:15] "[36mGET /favicon.ico HTTP/1.1[0m" 304 -
2026-01-29 18:32:59,200 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8010
 * Running on http://192.168.0.129:8010
2026-01-29 18:32:59,200 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-29 18:33:15,688 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET / ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:33:15,689 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:33:15] "GET / HTTP/1.1" 200 -
2026-01-29 18:33:15,778 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /styles.css ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:33:15,779 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:33:15] "GET /styles.css HTTP/1.1" 200 -
2026-01-29 18:33:15,786 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /app.js ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:33:15,787 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:33:15] "GET /app.js HTTP/1.1" 200 -
2026-01-29 18:33:17,143 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /favicon.ico ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:33:17,160 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:33:17] "GET /favicon.ico HTTP/1.1" 200 -
